TITLE,ZnO_B19_szklo_4
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/11
TIME,12:10:50
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.33382
MAXY,     0.84990
MINY,     0.22884
XYDATA
646.0000,0.336472
645.0000,0.33773
644.0000,0.337289
643.0000,0.338999
642.0000,0.33922
641.0000,0.339045
640.0000,0.341702
639.0000,0.342632
638.0000,0.341531
637.0000,0.343783
636.0000,0.34326
635.0000,0.343101
634.0000,0.346
633.0000,0.345547
632.0000,0.346588
631.0000,0.345273
630.0000,0.34704
629.0000,0.349563
628.0000,0.350157
627.0000,0.351031
626.0000,0.3515
625.0000,0.350595
624.0000,0.354069
623.0000,0.354929
622.0000,0.356021
621.0000,0.355157
620.0000,0.357164
619.0000,0.358119
618.0000,0.357068
617.0000,0.358107
616.0000,0.359414
615.0000,0.360872
614.0000,0.361155
613.0000,0.362972
612.0000,0.361665
611.0000,0.364335
610.0000,0.365637
609.0000,0.36777
608.0000,0.368505
607.0000,0.367406
606.0000,0.370541
605.0000,0.369658
604.0000,0.372733
603.0000,0.370395
602.0000,0.374404
601.0000,0.37269
600.0000,0.374349
599.0000,0.376813
598.0000,0.375816
597.0000,0.378132
596.0000,0.379638
595.0000,0.380533
594.0000,0.379311
593.0000,0.382302
592.0000,0.383301
591.0000,0.385084
590.0000,0.385604
589.0000,0.387779
588.0000,0.388961
587.0000,0.390317
586.0000,0.38919
585.0000,0.391603
584.0000,0.392593
583.0000,0.39384
582.0000,0.394506
581.0000,0.394537
580.0000,0.398008
579.0000,0.397537
578.0000,0.399276
577.0000,0.400592
576.0000,0.40246
575.0000,0.404104
574.0000,0.404188
573.0000,0.404179
572.0000,0.407131
571.0000,0.407061
570.0000,0.407045
569.0000,0.410312
568.0000,0.412652
567.0000,0.413807
566.0000,0.413632
565.0000,0.414064
564.0000,0.41736
563.0000,0.416076
562.0000,0.419102
561.0000,0.419052
560.0000,0.421158
559.0000,0.423421
558.0000,0.422926
557.0000,0.426388
556.0000,0.425601
555.0000,0.427281
554.0000,0.428352
553.0000,0.43073
552.0000,0.429995
551.0000,0.431983
550.0000,0.433563
549.0000,0.435763
548.0000,0.436233
547.0000,0.438709
546.0000,0.441361
545.0000,0.441703
544.0000,0.443062
543.0000,0.445254
542.0000,0.445259
541.0000,0.445096
540.0000,0.4477
539.0000,0.448867
538.0000,0.451634
537.0000,0.451587
536.0000,0.454318
535.0000,0.457551
534.0000,0.456455
533.0000,0.459475
532.0000,0.460802
531.0000,0.462798
530.0000,0.461755
529.0000,0.465632
528.0000,0.466174
527.0000,0.469723
526.0000,0.471838
525.0000,0.472804
524.0000,0.473896
523.0000,0.473714
522.0000,0.478391
521.0000,0.478684
520.0000,0.478798
519.0000,0.480948
518.0000,0.482957
517.0000,0.48451
516.0000,0.486915
515.0000,0.490312
514.0000,0.490458
513.0000,0.49085
512.0000,0.49402
511.0000,0.497201
510.0000,0.49636
509.0000,0.498713
508.0000,0.500171
507.0000,0.504389
506.0000,0.506744
505.0000,0.506953
504.0000,0.511428
503.0000,0.513751
502.0000,0.512724
501.0000,0.516179
500.0000,0.51867
499.0000,0.522716
498.0000,0.524621
497.0000,0.526799
496.0000,0.527326
495.0000,0.530306
494.0000,0.533285
493.0000,0.537509
492.0000,0.536054
491.0000,0.537252
490.0000,0.545439
489.0000,0.542111
488.0000,0.548424
487.0000,0.549516
486.0000,0.550751
485.0000,0.555007
484.0000,0.557331
483.0000,0.559604
482.0000,0.562492
481.0000,0.564476
480.0000,0.569204
479.0000,0.571842
478.0000,0.573778
477.0000,0.574438
476.0000,0.579003
475.0000,0.581946
474.0000,0.584
473.0000,0.587974
472.0000,0.590702
471.0000,0.593722
470.0000,0.596978
469.0000,0.601364
468.0000,0.602933
467.0000,0.605457
466.0000,0.610962
465.0000,0.6125
464.0000,0.616546
463.0000,0.619351
462.0000,0.621553
461.0000,0.625763
460.0000,0.629035
459.0000,0.635981
458.0000,0.635113
457.0000,0.642056
456.0000,0.644409
455.0000,0.647192
454.0000,0.652198
453.0000,0.652412
452.0000,0.656649
451.0000,0.660288
450.0000,0.664883
449.0000,0.670942
448.0000,0.67063
447.0000,0.67628
446.0000,0.680198
445.0000,0.682325
444.0000,0.686092
443.0000,0.690203
442.0000,0.692581
441.0000,0.696787
440.0000,0.700919
439.0000,0.705672
438.0000,0.710519
437.0000,0.711307
436.0000,0.718961
435.0000,0.723205
434.0000,0.728538
433.0000,0.7343
432.0000,0.739693
431.0000,0.73786
430.0000,0.74439
429.0000,0.748387
428.0000,0.754002
427.0000,0.758939
426.0000,0.765059
425.0000,0.767566
424.0000,0.774508
423.0000,0.781336
422.0000,0.786552
421.0000,0.79437
420.0000,0.7962
419.0000,0.798518
418.0000,0.805472
417.0000,0.808247
416.0000,0.813028
415.0000,0.81821
414.0000,0.818157
